seqA,ts2_A,seqB,ts2_B,delta_time_ns
10,1745235767972769645,8,1745235767982088364,9318719
24,1745235771631832980,16,1745235771646309166,14476186
26,1745235771652937901,17,1745235771663155353,10217452
39,1745235771788776693,24,1745235771798415364,9638671
40,1745235771808848715,25,1745235771816965029,8116314
41,1745235771808870119,26,1745235771819235849,10365730
42,1745235772068395422,27,1745235772077414902,9019480
43,1745235772068415785,28,1745235772077439831,9024046
44,1745235772068421971,29,1745235772077446196,9024225
45,1745235772068426994,30,1745235772077452244,9025250
46,1745235772068431890,31,1745235772077458033,9026143
52,1745235776163877014,37,1745235776172384202,8507188
59,1745235777099311270,43,1745235777109416837,10105567
60,1745235777099317514,44,1745235777109444376,10126862
58,1745235777099289829,45,1745235777109451969,10162140
62,1745235777114785784,47,1745235777123251908,8466124
63,1745235777114797642,48,1745235777126311423,11513781
65,1745235777116801402,49,1745235777126332873,9531471
66,1745235777945659908,50,1745235777952485999,6826091
68,1745235777960332796,51,1745235777970578177,10245381
77,1745235778746427980,54,1745235778756978008,10550028
78,1745235778772111434,55,1745235778778358887,6247453
79,1745235780794576716,56,1745235780803031290,8454574
86,1745235781127923597,58,1745235781136400393,8476796
89,1745235781163921501,60,1745235781173562708,9641207
98,1745235781935470312,63,1745235781943970266,8499954
99,1745235781953488008,64,1745235781965077945,11589937
100,1745235784424142975,65,1745235784431523086,7380111
101,1745235784442428838,66,1745235784452473327,10044489
102,1745235785394300162,67,1745235785404052450,9752288
103,1745235785413921855,68,1745235785423641836,9719981
112,1745235787683498815,71,1745235787688118163,4619348
113,1745235787698469166,72,1745235787707565082,9095916
130,1745235788321967537,81,1745235788330433418,8465881
132,1745235788350303939,82,1745235788355978018,5674079
133,1745235788458019890,83,1745235788463164205,5144315
134,1745235788592465945,84,1745235788603216336,10750391
135,1745235788594849523,85,1745235788604597402,9747879
137,1745235788625834227,86,1745235788635512088,9677861
138,1745235789546250134,87,1745235789553542399,7292265
154,1745235789764722597,96,1745235789773753525,9030928
155,1745235789771623784,97,1745235789780499627,8875843
156,1745235789772402214,98,1745235789781877005,9474791
157,1745235789779965789,99,1745235789792605098,12639309
158,1745235789780390703,100,1745235789792630593,12239890
160,1745235789780413300,101,1745235789792639384,12226084
162,1745235789803147130,102,1745235789803566492,419362
163,1745235789803156271,103,1745235789806585747,3429476
164,1745235789803163454,104,1745235789822734970,19571516
166,1745235789803179273,105,1745235789822760791,19581518
167,1745235789812671339,106,1745235789825148549,12477210
169,1745235789818503304,107,1745235789829027254,10523950
171,1745235789836043415,108,1745235789843926410,7882995
196,1745235790317378831,121,1745235790326183658,8804827
198,1745235790334926624,122,1745235790336219281,1292657
199,1745235790355480349,123,1745235790364712350,9232001
200,1745235790372979931,124,1745235790382740410,9760479
201,1745235790585975944,125,1745235790594561013,8585069
216,1745235790924805545,134,1745235790935023680,10218135
217,1745235790944289853,135,1745235790955054979,10765126
230,1745235791419463093,142,1745235791429558602,10095509
237,1745235792125052601,146,1745235792129133834,4081233
246,1745235792251347547,152,1745235792260273766,8926219
248,1745235792273905496,153,1745235792280808019,6902523
261,1745235792538128796,160,1745235792547887422,9758626
271,1745235792561082827,164,1745235792570477138,9394311
272,1745235792561104006,165,1745235792571405468,10301462
286,1745235792596613449,173,1745235792608334707,11721258
287,1745235792618582602,174,1745235792628909725,10327123
288,1745235792635970958,175,1745235792646714238,10743280
290,1745235792658655013,176,1745235792666437021,7782008
291,1745235792658664439,177,1745235792668525222,9860783
293,1745235792678856190,178,1745235792688332971,9476781
294,1745235793400933310,179,1745235793412023826,11090516
295,1745235793422982738,180,1745235793431082368,8099630
296,1745235794328852127,181,1745235794338265412,9413285
297,1745235794347127119,182,1745235794356193670,9066551
298,1745235794350460298,183,1745235794360508231,10047933
300,1745235794366929710,184,1745235794376909606,9979896
